Quote,Author
"Be the change you wish to see in the world",Mahatma Gandhi
"The only way to do great work is to love what you do",Steve Jobs
"Success is not final, failure is not fatal: it is the courage to continue that counts",Winston Churchill
"The future belongs to those who believe in the beauty of their dreams",Eleanor Roosevelt
"Life is what happens when you're busy making other plans",John Lennon
"The greatest glory in living lies not in never falling, but in rising every time we fall",Nelson Mandela
"In the middle of difficulty lies opportunity",Albert Einstein
"The only limit to our realization of tomorrow will be our doubts of today",Franklin D. Roosevelt
"Don't watch the clock; do what it does. Keep going",Sam Levenson
"The way to get started is to quit talking and begin doing",Walt Disney
"Believe you can and you're halfway there",Theodore Roosevelt
"It does not matter how slowly you go as long as you do not stop",Confucius
"The only person you are destined to become is the person you decide to be",Ralph Waldo Emerson
"Everything you've ever wanted is on the other side of fear",George Addair
"Success usually comes to those who are too busy to be looking for it",Henry David Thoreau
"The mind is everything. What you think you become",Buddha
"The best time to plant a tree was 20 years ago. The second best time is now",Chinese Proverb
"Your time is limited, don't waste it living someone else's life",Steve Jobs
"The journey of a thousand miles begins with one step",Lao Tzu
"Dream big and dare to fail",Norman Vaughan 
